Organ Transplantation Center Service Type Description,OTC Code,Organ Transplantation Center Type,OTC Name,OTC Address,OTC City,ZIP Code,Organ Transplantation Center Telephone Number,Organ Transplantation Center URL,Organ Procurement Organization Provider Number,Organ Procurement Organization Name,Organ Procurement Organization Address,Organ Procurement Organization City,Organ Procurement Organization State Abbreviation,Organ Procurement Organization State Name,Organ Procurement Organization Postal Code,Organ Procurement Organization Telephone Number,Organ Procurement Organization URL,State and County Federal Information Processing Standard Code,County or County Equivalent Federal Information Processing Standard Code,Complete County Name,County Equivalent Name,County Description,HHS Region Code,HHS Region Name,State FIPS Code,State Name,State Abbreviation,U.S. - Mexico Border County Indicator,U.S. - Mexico Border 100 Kilometer Indicator,Data Warehouse Record Create Date,Data Warehouse Record Create Date Text,OTC Service List,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate,Common Region Code,Common Region Name,Common State Name,Common State Abbreviation,Common State FIPS Code,Common State County FIPS Code,Common County Name,Common City Name with State Abbreviation,Common Congressional District Name,Common Congress Number Text,Common State FIPS Code Congressional District Number,Common Postal Code,Organ Transplantation Center Program URL
Kidney,ALCH,TX1,Children's of Alabama,1600 7th Ave S,Birmingham,35233,205-638-3333,http://www.childrensal.org,01P001,Alabama Organ Center,502 20th St S,Birmingham,AL,Alabama,35233-2028,205-731-9200,http://www.alabamaorgancenter.org/,1073,73,Jefferson County,Jefferson,County            ,4,Region IV,1,Alabama,AL,N,N,10/25/18,10/25/18," Heart, Kidney, Liver",-86.8048235,33.50351964,4,Region IV,Alabama,AL,1,1073,"Jefferson County, AL","Birmingham, AL",Alabama District 07,115,107,35233,https://www.srtr.org/transplant-centers/childrens-of-alabama-alch/
Liver,ALCH,TX1,Children's of Alabama,1600 7th Ave S,Birmingham,35233,205-638-3333,http://www.childrensal.org,01P001,Alabama Organ Center,502 20th St S,Birmingham,AL,Alabama,35233-2028,205-731-9200,http://www.alabamaorgancenter.org/,1073,73,Jefferson County,Jefferson,County            ,4,Region IV,1,Alabama,AL,N,N,10/25/18,10/25/18," Heart, Kidney, Liver",-86.8048235,33.50351964,4,Region IV,Alabama,AL,1,1073,"Jefferson County, AL","Birmingham, AL",Alabama District 07,115,107,35233,https://www.srtr.org/transplant-centers/childrens-of-alabama-alch/
Heart,ALCH,TX1,Children's of Alabama,1600 7th Ave S,Birmingham,35233,205-638-3333,http://www.childrensal.org,01P001,Alabama Organ Center,502 20th St S,Birmingham,AL,Alabama,35233-2028,205-731-9200,http://www.alabamaorgancenter.org/,1073,73,Jefferson County,Jefferson,County            ,4,Region IV,1,Alabama,AL,N,N,10/25/18,10/25/18," Heart, Kidney, Liver",-86.8048235,33.50351964,4,Region IV,Alabama,AL,1,1073,"Jefferson County, AL","Birmingham, AL",Alabama District 07,115,107,35233,https://www.srtr.org/transplant-centers/childrens-of-alabama-alch/
Kidney,ALUA,TX1,University of Alabama Hospital,619 20th Ave S,Birmingham,35205,205-975-5691,http://www.uabhealth.org/,01P001,Alabama Organ Center,502 20th St S,Birmingham,AL,Alabama,35233-2028,205-731-9200,http://www.alabamaorgancenter.org/,1073,73,Jefferson County,Jefferson,County            ,4,Region IV,1,Alabama,AL,N,N,10/25/18,10/25/18," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Pancreas Islet",-86.81463676,33.48393034,4,Region IV,Alabama,AL,1,1073,"Jefferson County, AL","Birmingham, AL",Alabama District 07,115,107,35205,https://www.srtr.org/transplant-centers/university-of-alabama-hospital-alua/
Pancreas,ALUA,TX1,University of Alabama Hospital,619 20th Ave S,Birmingham,35205,205-975-5691,http://www.uabhealth.org/,01P001,Alabama Organ Center,502 20th St S,Birmingham,AL,Alabama,35233-2028,205-731-9200,http://www.alabamaorgancenter.org/,1073,73,Jefferson County,Jefferson,County            ,4,Region IV,1,Alabama,AL,N,N,10/25/18,10/25/18," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Pancreas Islet",-86.81463676,33.48393034,4,Region IV,Alabama,AL,1,1073,"Jefferson County, AL","Birmingham, AL",Alabama District 07,115,107,35205,https://www.srtr.org/transplant-centers/university-of-alabama-hospital-alua/
Pancreas Islet,ALUA,TX1,University of Alabama Hospital,619 20th Ave S,Birmingham,35205,205-975-5691,http://www.uabhealth.org/,01P001,Alabama Organ Center,502 20th St S,Birmingham,AL,Alabama,35233-2028,205-731-9200,http://www.alabamaorgancenter.org/,1073,73,Jefferson County,Jefferson,County            ,4,Region IV,1,Alabama,AL,N,N,10/25/18,10/25/18," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Pancreas Islet",-86.81463676,33.48393034,4,Region IV,Alabama,AL,1,1073,"Jefferson County, AL","Birmingham, AL",Alabama District 07,115,107,35205,https://www.srtr.org/transplant-centers/university-of-alabama-hospital-alua/
Liver,ALUA,TX1,University of Alabama Hospital,619 20th Ave S,Birmingham,35205,205-975-5691,http://www.uabhealth.org/,01P001,Alabama Organ Center,502 20th St S,Birmingham,AL,Alabama,35233-2028,205-731-9200,http://www.alabamaorgancenter.org/,1073,73,Jefferson County,Jefferson,County            ,4,Region IV,1,Alabama,AL,N,N,10/25/18,10/25/18," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Pancreas Islet",-86.81463676,33.48393034,4,Region IV,Alabama,AL,1,1073,"Jefferson County, AL","Birmingham, AL",Alabama District 07,115,107,35205,https://www.srtr.org/transplant-centers/university-of-alabama-hospital-alua/
Intestine,ALUA,TX1,University of Alabama Hospital,619 20th Ave S,Birmingham,35205,205-975-5691,http://www.uabhealth.org/,01P001,Alabama Organ Center,502 20th St S,Birmingham,AL,Alabama,35233-2028,205-731-9200,http://www.alabamaorgancenter.org/,1073,73,Jefferson County,Jefferson,County            ,4,Region IV,1,Alabama,AL,N,N,10/25/18,10/25/18," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Pancreas Islet",-86.81463676,33.48393034,4,Region IV,Alabama,AL,1,1073,"Jefferson County, AL","Birmingham, AL",Alabama District 07,115,107,35205,https://www.srtr.org/transplant-centers/university-of-alabama-hospital-alua/
Heart,ALUA,TX1,University of Alabama Hospital,619 20th Ave S,Birmingham,35205,205-975-5691,http://www.uabhealth.org/,01P001,Alabama Organ Center,502 20th St S,Birmingham,AL,Alabama,35233-2028,205-731-9200,http://www.alabamaorgancenter.org/,1073,73,Jefferson County,Jefferson,County            ,4,Region IV,1,Alabama,AL,N,N,10/25/18,10/25/18," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Pancreas Islet",-86.81463676,33.48393034,4,Region IV,Alabama,AL,1,1073,"Jefferson County, AL","Birmingham, AL",Alabama District 07,115,107,35205,https://www.srtr.org/transplant-centers/university-of-alabama-hospital-alua/
Lung,ALUA,TX1,University of Alabama Hospital,619 20th Ave S,Birmingham,35205,205-975-5691,http://www.uabhealth.org/,01P001,Alabama Organ Center,502 20th St S,Birmingham,AL,Alabama,35233-2028,205-731-9200,http://www.alabamaorgancenter.org/,1073,73,Jefferson County,Jefferson,County            ,4,Region IV,1,Alabama,AL,N,N,10/25/18,10/25/18," Heart, Intestine, Kidney, Liver, Lung, Pancreas, Pancreas Islet",-86.81463676,33.48393034,4,Region IV,Alabama,AL,1,1073,"Jefferson County, AL","Birmingham, AL",Alabama District 07,115,107,35205,https://www.srtr.org/transplant-centers/university-of-alabama-hospital-alua/
Kidney,ALVA,TX1,Birmingham VA Medical Center,700 19th St S,Birmingham,35233,877-894-2600,http://www.birmingham.va.gov,01P001,Alabama Organ Center,502 20th St S,Birmingham,AL,Alabama,35233-2028,205-731-9200,http://www.alabamaorgancenter.org/,1073,73,Jefferson County,Jefferson,County            ,4,Region IV,1,Alabama,AL,N,N,10/25/18,10/25/18, Kidney,-86.80125286,33.50507976,4,Region IV,Alabama,AL,1,1073,"Jefferson County, AL","Birmingham, AL",Alabama District 07,115,107,35233,https://www.srtr.org/transplant-centers/birmingham-va-medical-center-alva/
